home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home/name,away/name,home_result,season
20066.0,19419.0,55494.0,74230.0,49413.0,,66975.0,55037.0,82403.0,86417.0,50471.0,80146.0,,,121160.0,121145.0,220566.0,102826.0,27789.0,59859.0,61366.0,20664.0,,,103955.0,205651.0,165809.0,Crystal Palace,Manchester City,lose,2019/20
111234.0,106611.0,101188.0,164511.0,102747.0,,20467.0,153133.0,100649.0,120250.0,173807.0,212319.0,,,40694.0,40669.0,219924.0,81012.0,105717.0,217593.0,101537.0,86934.0,18073.0,204480.0,103123.0,,,Everton,West Ham United,win,2019/20
17745.0,172850.0,218031.0,37642.0,111931.0,,201666.0,166989.0,172780.0,168580.0,203341.0,101668.0,,,98747.0,68983.0,17761.0,51927.0,39487.0,433154.0,90517.0,83314.0,60551.0,,44683.0,60689.0,,Leicester City,Burnley,win,2019/20
51940.0,184667.0,95658.0,58893.0,,,101582.0,18892.0,214590.0,195851.0,,176297.0,156689.0,200617.0,116535.0,97032.0,122798.0,60914.0,169187.0,116643.0,41733.0,56979.0,,,92217.0,110979.0,152760.0,Manchester United,Liverpool,draw,2019/20
172649.0,146610.0,40386.0,108416.0,,,82691.0,63426.0,47247.0,153723.0,79934.0,178304.0,27436.0,,80201.0,39476.0,101184.0,41270.0,111457.0,195735.0,200089.0,242166.0,84450.0,223340.0,54694.0,,,Sheffield United,Arsenal,win,2019/20
38533.0,41727.0,90585.0,94147.0,,,171317.0,114128.0,19624.0,151589.0,159533.0,102057.0,209353.0,,107265.0,80447.0,93100.0,171771.0,,40146.0,78056.0,213482.0,132015.0,,101178.0,84939.0,83283.0,Wolverhampton Wanderers,Southampton,draw,2019/20
80201.0,192895.0,39476.0,101184.0,41270.0,,182539.0,195735.0,242166.0,84450.0,,59966.0,54694.0,,20066.0,19419.0,55494.0,74230.0,49413.0,66975.0,55037.0,60252.0,82403.0,50471.0,80146.0,,,Arsenal,Crystal Palace,draw,2019/20
131897.0,110735.0,83299.0,86153.0,78916.0,,40845.0,60307.0,66242.0,235382.0,,115382.0,233425.0,,111234.0,194164.0,106611.0,101188.0,102747.0,20467.0,153133.0,100649.0,120250.0,173807.0,212319.0,,,Brighton and Hove Albion,Everton,win,2019/20
98747.0,68983.0,17761.0,51927.0,39487.0,,40145.0,433154.0,83314.0,60551.0,,44683.0,44699.0,,109745.0,82263.0,194794.0,103192.0,41328.0,176413.0,85955.0,91651.0,47431.0,184341.0,173879.0,,,Burnley,Chelsea,lose,2019/20
116535.0,97032.0,38454.0,122798.0,169187.0,,116643.0,41733.0,56979.0,,,92217.0,110979.0,118748.0,102884.0,38290.0,55605.0,173904.0,80226.0,157668.0,45268.0,108823.0,,,85971.0,78830.0,80607.0,Liverpool,Tottenham Hotspur,win,2019/20
121160.0,97299.0,121145.0,102826.0,27789.0,,59859.0,61366.0,20664.0,,,103955.0,205651.0,165809.0,21205.0,203368.0,169359.0,149484.0,108156.0,230046.0,122806.0,114283.0,148508.0,184704.0,213345.0,,,Manchester City,Aston Villa,win,2019/20
67089.0,58845.0,101148.0,92159.0,57145.0,151119.0,223175.0,170137.0,179018.0,180135.0,,180974.0,,,38533.0,87835.0,94147.0,107613.0,,171317.0,114128.0,19624.0,151589.0,159533.0,102057.0,194634.0,,Newcastle United,Wolverhampton Wanderers,draw,2019/20
20480.0,232980.0,198826.0,194799.0,128348.0,,87396.0,193111.0,195546.0,78607.0,18665.0,57127.0,,,51940.0,184667.0,95658.0,18892.0,214590.0,176297.0,156689.0,101582.0,200617.0,195851.0,148225.0,,,Norwich City,Manchester United,lose,2019/20
107265.0,80447.0,93100.0,171771.0,,,40146.0,78056.0,101178.0,213482.0,132015.0,84939.0,83283.0,,17745.0,172850.0,218031.0,37642.0,111931.0,201666.0,166989.0,172780.0,168580.0,203341.0,101668.0,,,Southampton,Leicester City,lose,2019/20
9089.0,52940.0,60232.0,155651.0,41338.0,85624.0,43250.0,89085.0,121599.0,,,94924.0,61566.0,,225321.0,56917.0,126184.0,54469.0,171129.0,152551.0,220307.0,90105.0,168991.0,,75115.0,78007.0,,Watford,Bournemouth,draw,2019/20
