id,name,season,defence_clean sheets,defence_goals conceded,defence_tackles,defence_tackle success %,defence_last man tackles,defence_blocked shots,defence_interceptions,defence_clearances,defence_headed clearance,defence_clearances off line,defence_recoveries,defence_duels won,defence_duels lost,defence_successful 50/50s,defence_aerial battles won,defence_aerial battles lost,defence_own goals,defence_errors leading to goal,teamplay_goals,teamplay_assists,teamplay_passes,teamplay_passes per match,teamplay_big chances created,teamplay_crosses,teamplay_cross accuracy %,teamplay_through balls,teamplay_accurate long balls,discipline_yellow cards,discipline_red cards,discipline_fouls,discipline_offsides,attack_goals,attack_goals per match,attack_headed goals,attack_goals with right foot,attack_goals with left foot,attack_penalties scored,attack_freekicks scored,attack_shots,attack_shots on target,attack_shooting accuracy %,attack_hit woodwork,attack_big chances missed,goalkeeping_saves,goalkeeping_penalties saved,goalkeeping_punches,goalkeeping_high claims,goalkeeping_catches,goalkeeping_sweeper clearances,goalkeeping_throw outs,goalkeeping_goal kicks
p165809,Bernardo Silva,2020/21,0,0,26,54,0,6,17,6,2,0,113,98,135,41,13,31,0,0,0,6,"1,372",52.77,8,32,9,1,50,5,0,17,2,2,0.08,0,0,2,0,0,28,13,46,2,3,0,0,0,0,0,0,0,0
p432793,Ali Koiki,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p101184,Calum Chambers,2021/22,3,16,21,52,0,2,5,49,22,0,63,52,46,0,28,26,0,0,0,0,560,43.08,0,5,40,1,35,1,0,14,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p95715,Lucas Moura,2018/19,0,0,34,0,0,6,24,24,20,0,0,0,0,0,0,0,0,0,0,0,723,22.59,1,19,0,0,0,3,0,25,14,10,0.31,1,8,1,0,0,45,20,44,1,11,0,0,0,0,0,0,0,0
p109745,Kepa Arrizabalaga,2018/19,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,003",27.86,0,0,0,0,188,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,82,1,10,11,7,9,156,256
p82691,George Baldock,2020/21,4,51,47,72,1,8,25,62,34,1,127,111,139,17,26,28,0,0,0,2,897,28.03,5,62,16,1,21,7,0,46,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p217401,Josh Benson,2020/21,0,0,5,20,0,1,3,2,1,0,18,10,22,2,2,5,0,0,0,0,79,13.17,0,5,0,0,1,0,0,4,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
p61933,Shane Duffy,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p61566,Roberto Pereyra,2018/19,0,0,21,57,0,14,23,20,10,0,186,102,177,41,4,19,0,1,0,1,"1,121",33.97,7,40,20,3,46,3,0,27,3,6,0.18,0,5,1,0,0,57,21,37,4,6,0,0,0,0,0,0,0,0
p86417,Jeffrey Schlupp,2021/22,0,0,46,54,0,10,18,31,12,0,115,134,147,35,31,39,0,0,0,1,641,20.03,2,20,15,3,18,1,0,26,0,4,0.13,1,0,3,0,0,33,9,27,1,1,0,0,0,0,0,0,0,0
p447235,Troy Parrott,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p58822,Cédric Soares,2020/21,2,11,12,67,0,2,8,14,5,0,40,29,48,5,7,12,0,1,0,1,365,36.5,1,34,24,0,9,1,0,6,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
p109533,Emerson,2019/20,1,21,23,52,0,4,18,14,9,0,59,68,31,12,17,11,0,0,0,0,718,47.87,2,54,24,0,22,3,0,4,2,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
p101537,Felipe Anderson,2019/20,0,0,46,70,0,8,22,10,5,0,112,139,130,63,6,19,0,0,0,4,895,35.8,4,34,26,5,42,1,0,17,2,1,0.04,0,1,0,0,0,23,8,35,1,3,0,0,0,0,0,0,0,0
p41733,Georginio Wijnaldum,2019/20,0,0,23,30,0,9,26,17,11,0,198,120,117,34,39,37,0,0,0,0,"1,757",46.24,1,6,17,1,46,1,0,15,0,2,0.05,0,2,0,0,0,31,9,29,1,1,0,0,0,0,0,0,0,0
p209046,Callum Hudson-Odoi,2021/22,0,0,14,71,0,6,2,5,1,0,39,51,62,16,4,8,0,0,0,2,354,23.6,3,32,16,0,9,1,0,10,4,1,0.07,0,1,0,0,0,18,7,39,0,3,0,0,0,0,0,0,0,0
p62398,Nemanja Matic,2019/20,0,0,46,52,0,2,22,26,16,0,146,110,93,20,29,23,0,0,0,2,"1,265",60.24,0,3,67,2,46,3,0,27,0,0,0.0,0,0,0,0,0,7,2,29,1,0,0,0,0,0,0,0,0,0
