home/name,away/name,home/gk_0,home/df_0,home/df_1,home/df_2,home/df_3,home/df_4,home/mf_0,home/mf_1,home/mf_2,home/mf_3,home/mf_4,home/fw_0,home/fw_1,home/fw_2,away/gk_0,away/df_0,away/df_1,away/df_2,away/df_3,away/mf_0,away/mf_1,away/mf_2,away/mf_3,away/mf_4,away/fw_0,away/fw_1,away/fw_2,home_result,season
Arsenal,Crystal Palace,80201,39476,101184,192895,41270,-1,242166,182539,84450,195735,-1,54694,59966,-1,20066,74230,19419,49413,55494,60252,82403,50471,66975,55037,80146,-1,-1,draw,2019/20
Brighton and Hove Albion,Everton,131897,83299,110735,78916,86153,-1,66242,40845,235382,60307,-1,115382,233425,-1,111234,101188,106611,194164,102747,20467,153133,173807,120250,100649,212319,-1,-1,win,2019/20
Burnley,Chelsea,98747,51927,68983,17761,39487,-1,83314,40145,433154,60551,-1,44683,44699,-1,109745,194794,41328,103192,82263,91651,47431,184341,176413,85955,173879,-1,-1,lose,2019/20
Liverpool,Tottenham Hotspur,116535,122798,169187,38454,97032,-1,41733,56979,116643,-1,-1,110979,118748,92217,102884,173904,80226,55605,38290,45268,108823,157668,-1,-1,85971,78830,80607,win,2019/20
Manchester City,Aston Villa,121160,121145,97299,102826,27789,-1,61366,59859,20664,-1,-1,103955,205651,165809,21205,149484,203368,169359,108156,114283,122806,230046,184704,148508,213345,-1,-1,win,2019/20
Newcastle United,Wolverhampton Wanderers,67089,92159,101148,57145,58845,151119,180135,170137,223175,179018,-1,180974,-1,-1,38533,87835,94147,107613,-1,19624,151589,114128,159533,171317,102057,194634,-1,draw,2019/20
Norwich City,Manchester United,20480,194799,198826,232980,128348,-1,193111,195546,87396,78607,18665,57127,-1,-1,51940,18892,184667,214590,95658,176297,200617,101582,156689,195851,148225,-1,-1,lose,2019/20
Southampton,Leicester City,107265,171771,93100,80447,-1,-1,101178,213482,40146,132015,78056,84939,83283,-1,17745,218031,111931,37642,172850,166989,172780,201666,168580,203341,101668,-1,-1,lose,2019/20
Watford,Bournemouth,9089,60232,52940,155651,41338,85624,121599,89085,43250,-1,-1,94924,61566,-1,225321,126184,56917,54469,171129,90105,168991,152551,220307,-1,75115,78007,-1,draw,2019/20
West Ham United,Sheffield United,40694,55459,20658,219924,166640,-1,101537,18987,18073,204480,56377,103123,-1,-1,172649,146610,40386,108416,-1,82691,63426,47247,153723,79934,171975,27436,-1,draw,2019/20
Arsenal,Wolverhampton Wanderers,80201,39476,101184,192895,41270,-1,37605,198849,182539,242166,-1,54694,59966,-1,38533,107613,151589,94147,-1,171317,114128,19624,87835,-1,102057,159533,194634,draw,2019/20
Aston Villa,Liverpool,21205,149484,203368,169359,108156,-1,122806,230046,184704,-1,-1,148508,193488,213345,116535,122798,169187,38454,97032,39155,41733,56979,-1,-1,110979,118748,92217,lose,2019/20
Bournemouth,Manchester United,225321,126184,56917,54469,171129,-1,168991,153682,152551,90105,-1,75115,78007,-1,51940,18892,184667,214590,95658,176297,200617,101582,156689,195851,148225,-1,-1,win,2019/20
Brighton and Hove Albion,Norwich City,131897,83299,110735,78916,86153,-1,66242,40845,235382,60307,-1,115382,233425,-1,20480,194799,198826,232980,18665,195546,71738,90440,78607,89470,57127,-1,-1,win,2019/20
Crystal Palace,Leicester City,40836,74230,19419,49413,55494,-1,82403,86417,66975,50471,55037,80146,-1,-1,17745,218031,111931,37642,172850,166989,172780,201666,168580,203341,101668,-1,-1,lose,2019/20
Everton,Tottenham Hotspur,111234,164511,194164,101188,102747,-1,173807,41823,20467,120250,153133,212319,-1,-1,102884,115556,173904,55605,80226,85971,80607,45268,108823,231372,95715,-1,-1,draw,2019/20
Manchester City,Southampton,121160,58621,97299,145235,27789,-1,61366,59859,20664,-1,-1,103955,165809,37572,58376,213482,88900,132015,93100,91047,78056,101178,-1,-1,84939,83283,-1,win,2019/20
